N, tolerance, E_{0}, E_{1}, E_{2}, E_{3}, E_{4}, E_{5}, E_{6}, E_{7}, E_{8}, E_{9}, E_{10}, E_{11}, E_{12}, E_{13}, E_{14}, E_{15}, E_{16}, E_{17}, E_{18}, E_{19}, E_{20}, E_{21}, E_{22}, E_{23}, E_{24}, E_{25}, E_{26}, E_{27}, E_{28}, E_{29}
, , 3.195918085200216, 5.526743874394997, 5.526743874395009, 7.557803326786347, 8.031272340314338, 8.444581361569949, 9.928061056951822, 9.928061056951856, 11.311817050618544, 11.311817050618640, 12.103253578719594, 12.201178967972684, 13.332331271155356, 14.348268533265774, 14.348268533265859, 14.450478721981366, 14.580556315645751, 16.151419224568905, 16.151419224568951, 16.517192463510327, 16.564871926048422, 17.894578279458376, 17.894578279458404, 18.583391734468311, 18.756204274477124, 18.756204274477142, 18.976194433432546, 19.594475116247999, 20.735768160805396, 20.920164358649753
6, 1e-05, 3.195921410697712, 5.526743083954980, 5.526743083954980, 7.560377282976076, 8.033687833880725, 8.444582067391533, 9.928486986230833, 9.938019354550955, 11.312068628007705, 11.319858656968131, 12.088643352826486, 12.195736652780168, 13.341238250760183, 14.317582414890740, 14.460507196161844, 16.160401552874493, 16.541325806298595, 17.947311451906117, 18.573962159840313, 18.761173556963072, 18.989741599002652, 19.533862986308055, 20.803383531008887, 21.528346474411538, 21.612883644832788, 22.501809122906767, 23.137615724998639, 23.838923030675954
6, 1e-07, 3.195917522853170, 5.526742481093289, 5.526742481093289, 7.558487525086649, 8.031689863038395, 8.444573067263773, 9.928272008229843, 9.930271723989263, 11.311500444447237, 11.314765677526708, 12.080164172125578, 12.188336028458142, 13.335756611930991, 14.304125122173511, 14.348224076243634, 14.453499087978415, 14.603279872342107, 16.081155840810780, 16.157707552385038, 16.541190134846737, 17.906599016343613, 17.964110822411339, 18.526961424657266, 18.758411376814543, 18.935576723077798, 19.488748987690560, 20.792483307943975, 21.288451928151108, 21.484019114333961, 21.560632997577336
6, 1e-09, 3.195917575578825, 5.526742001816996, 5.526742001816996, 7.558108123643129, 8.031387278196222, 8.444577289094644, 9.928141849422587, 9.928976262993745, 11.311476372673990, 11.312787649249639, 12.064843120078530, 12.180964049676982, 13.333524688396432, 14.274008725384682, 14.348182987125975, 14.451226870140426, 14.598158709917186, 16.052794379669450, 16.155995283762977, 16.541129074544816, 17.886609765786638, 17.956147966847599, 18.504378676598616, 18.914931536427879, 19.472319665394060, 20.784458567892475, 21.287913988986812, 21.449646523352609, 21.536224483060270, 22.485503551699274
12, 1e-05, 3.195918569408436, 5.526742249533519, 5.526742249533519, 7.557802596263683, 8.031273582392448, 8.444580559393494, 9.928062949897356, 9.928062949897356, 11.311817942170324, 11.311817942170324, 12.103281271362796, 12.201205535825965, 13.332331445904085, 14.348397704504416, 14.348397704504416, 14.450477419490715, 14.580556284244190, 16.151416325978492, 16.151416325978492, 16.565547822756404, 17.894646826324092, 17.894646826324092, 18.583461823014044, 18.756203981848071, 18.756203981848071, 19.596639847202344, 20.753439712325680, 20.940634201211136, 21.292390725403948, 21.292390725403948
12, 1e-07, 3.195918085974202, 5.526743879459534, 5.526743879459534, 7.557803349258893, 8.031272365283957, 8.444581357705752, 9.928061173783167, 9.928061173783167, 11.311817134020933, 11.311817134020933, 12.103258080136875, 12.201183053543270, 13.332331271781564, 14.348287203873319, 14.348287203873319, 14.450478859056496, 14.580554364998408, 16.151432060550746, 16.151432060550746, 16.517220456736201, 16.564919512342389, 17.894579264047902, 17.894579264047902, 18.583407249253984, 18.756361687677433, 18.756361687677433, 18.976210448227004, 19.595161372473047, 20.742367834206384, 20.926985992390705
12, 1e-09, 3.195918085302097, 5.526743874434198, 5.526743874434198, 7.557803326111223, 8.031272344832329, 8.444581361592313, 9.928061065829635, 9.928061065829635, 11.311817052160196, 11.311817052160196, 12.103254377565992, 12.201179449871153, 13.332331268011329, 14.348271222331334, 14.348271222331334, 14.450478741890100, 14.580554744811982, 16.151421629363863, 16.151421629363863, 16.517163874413612, 16.564852121065822, 17.894577398789114, 17.894577398789114, 18.583394769388470, 18.756150017742595, 18.756204006010137, 18.976196718812290, 19.594725077331503, 20.737406924948974, 20.921479204649774
18, 1e-05, 3.195917907618272, 5.526743792240249, 5.526743792240249, 7.557803832947719, 8.031272389543266, 8.444581174439239, 9.928061426520085, 9.928061426520085, 11.311816721224352, 11.311816721224352, 12.103253710612428, 12.201178466690475, 13.332331462730354, 14.348268585228578, 14.348268585228578, 14.450478758017605, 14.580556621305448, 16.151419037975774, 16.151419037975774, 16.517192762423377, 16.564872754189548, 17.894578448982333, 17.894578448982333, 18.583391302254650, 18.756206471915956, 18.756206471915956, 18.976194488541811, 19.594475605929155, 20.735780097657905, 20.920178169482007
18, 1e-07, 3.195918087789102, 5.526743883234321, 5.526743883234321, 7.557803338040030, 8.031272333032160, 8.444581353054712, 9.928061059284813, 9.928061059284813, 11.311817053218514, 11.311817053218514, 12.103253566447465, 12.201178985533103, 13.332331282646248, 14.348268537651236, 14.348268537651236, 14.450478706408196, 14.580556319060408, 16.151419225837554, 16.151419225837554, 16.517192550239226, 16.564872001467524, 17.894578284505794, 17.894578284505794, 18.583391743663164, 18.756204616655808, 18.756204616655808, 18.976194430626226, 19.594475174740694, 20.735770688942569, 20.920167385961722
18, 1e-09, 3.195918085230607, 5.526743874398414, 5.526743874398414, 7.557803326720760, 8.031272340399918, 8.444581361558537, 9.928061056974430, 9.928061056974430, 11.311817050629235, 11.311817050629235, 12.103253578818412, 12.201178968040674, 13.332331271206581, 14.348268533834185, 14.348268533834185, 14.450478721914953, 14.580556315840386, 16.151419224616699, 16.151419224616699, 16.517192473752985, 16.564871935618108, 17.894578282235052, 17.894578282235052, 18.583391734538502, 18.756204316094980, 18.756204316094980, 18.976194433770242, 19.594475112914729, 20.735768384162505, 20.920164650395705
